institution,country
University of the Republic (Uruguay),Uruguay
Sejong University,South Korea
Makerere University,Uganda
University of New Brunswick,Canada
Northeastern University (China),China
University of Extremadura,Spain
RMIT University,Australia
"Royal Veterinary College, University of London",United Kingdom
Chung Yuan Christian University,Taiwan
University of Osnabrück,Germany
Northwest University (China),China
Chosun University,South Korea
University of Orléans,France
Jean Monnet University,France
École centrale de Lyon,France
University of Western Sydney,Australia
Hefei University of Technology,China
University of Massachusetts Lowell,USA
Manchester Metropolitan University,United Kingdom
Nanjing Medical University,China
Kyoto Institute of Technology,Japan
Shanghai Normal University,China
Southwest University,China
Adam Mickiewicz University in Poznań,Poland
University of Calcutta,India
University of Pécs,Hungary
"Queens College, City University of New York",USA
University of Lleida,Spain
Nanjing University of Aeronautics and Astronautics,China
University of Western Brittany,France
University of North Carolina at Greensboro,USA
Pukyong National University,South Korea
Fourth Military Medical University,China
University of Fukui,Japan
University of Southern Mississippi,USA
University of Mannheim,Germany
Shimane University,Japan
China University of Geosciences (Wuhan),China
University of Thessaly,Greece
Oakland University,USA
Wilfrid Laurier University,Canada
Teikyo University,Japan
Saitama University,Japan
Trent University,Canada
Nicolaus Copernicus University in Toruń,Poland
Tarbiat Modares University,Iran
University of North Dakota,USA
Isfahan University of Technology,Iran
Fluminense Federal University,Brazil
National Taiwan University of Science and Technology,Taiwan
University of Lethbridge,Canada
Federal University of Santa Catarina,Brazil
University of Camerino,Italy
University of Brasília,Brazil
University of Wrocław,Poland
University of Basilicata,Italy
Jadavpur University,India
South China Normal University,China
University of Hyderabad,India
Ritsumeikan University,Japan
Carlos III University of Madrid,Spain
University of Cyprus,Cyprus
University of Texas at El Paso,USA
University of Cádiz,Spain
Shahid Beheshti University of Medical Sciences,Iran
National Taiwan Normal University,Taiwan
National University of Córdoba,Argentina
Federal University of Paraná,Brazil
University of Jaén,Spain
"University of California, Merced",USA
University of Waikato,New Zealand
University of Central Lancashire,United Kingdom
Federal University of Pernambuco,Brazil
University of Almería,Spain
Federal University of São Carlos,Brazil
Charles Darwin University,Australia
Yangzhou University,China
Wrocław University of Technology,Poland
Hirosaki University,Japan
National Taiwan Ocean University,Taiwan
Jiangsu University,China
Northwestern Polytechnical University,China
Xiangtan University,China
United Arab Emirates University,United Arab Emirates
Gachon University,South Korea
Hallym University,South Korea
Harbin Engineering University,China
Dokuz Eylül University,Turkey
Jinan University,China
Shiraz University,Iran
Third Military Medical University,China
Amirkabir University of Technology,Iran
Public University of Navarre,Spain
Federico Santa María Technical University,Chile
Federal University of ABC,Brazil
University of Puerto Rico at Mayagüez,Puerto Rico
Southern Medical University,China
University of Silesia,Poland
Ain Shams University,Egypt
University of Valenciennes and Hainaut-Cambresis,France
Chung Shan Medical University,Taiwan
National University of Colombia,Colombia
South China Agricultural University,China
Ibaraki University,Japan
Fu Jen Catholic University,Taiwan
Hunan Normal University,China
Ulsan National Institute of Science and Technology,South Korea
Federal University of Santa Maria,Brazil
Shenzhen University,China
Tianjin Medical University,China
Beijing University of Technology,China
University of Reims Champagne-Ardenne,France
Yuan Ze University,Taiwan
"University of Chemistry and Technology, Prague",Czech Republic
University of Limerick,Ireland
China Medical University (PRC),China
Feng Chia University,Taiwan
Zhejiang University of Technology,China
Novosibirsk State University,Russia
University of Bucharest,Romania
Babeș-Bolyai University,Romania
Mansoura University,Egypt
University of Pau and Pays de l'Adour,France
Henan Normal University,China
Xidian University,China
Federal University of Bahia,Brazil
Southwest Jiaotong University,China
Ryerson University,Canada
King Abdulaziz University,Saudi Arabia
University of the Algarve,Portugal
Alexandria University,Egypt
Federal University of Ceará,Brazil
University of A Coruña,Spain
China Pharmaceutical University,China
